"Year","Annual Sunshine Hours","Annual Rainfall"
"1891年",2198,1220.8
"1892年",1982.1,1715.1
"1893年",2296.1,1161.3
"1894年",2335.8,1320.8
"1895年",2269,1397.8
"1896年",2213.8,1373.9
"1897年",2046.4,1497.2
"1898年",2140.7,1711.9
"1899年",2223.7,1649.1
"1900年",2182.4,1188
"1901年",2189.9,1588.9
"1902年",2034.4,1753.7
"1903年",2033.7,1912.2
"1904年",2194.2,1381.8
"1905年",1889.4,1330.1
"1906年",2028.9,1519.5
"1907年",2139.7,1640.4
"1908年",2152.7,1692.1
"1909年",2084.9,1511.7
"1910年",1847.6,1750.7
"1911年",2055.2,1866.9
"1912年",2027.3,1734.3
"1913年",2093.8,1597
"1914年",2314.9,1694.4
"1915年",2007.8,1926.7
"1916年",1949.8,1930.8
"1917年",2245.7,1307.9
"1918年",2207,1336.5
"1919年",2093,1534.2
"1920年",2171.6,2193.7
"1921年",2169.2,2025.2
"1922年",2423.1,1411.2
"1923年",1853.7,1697.4
"1924年",2209.4,1475.3
"1925年",2102.8,1712.5
"1926年",2213.6,1176.8
"1927年",2145.2,1444.9
"1928年",1912.3,1750.4
"1929年",2052,1909.1
"1930年",2000.1,1476.2
"1931年",1954.9,1564.5
"1932年",2033.3,1690
"1933年",2081,1011.3
"1934年",1957.8,1246.7
"1935年",2005.9,1656.8
"1936年",2086,1627.6
"1937年",2165.7,1359
"1938年",2046.7,2229.6
"1939年",2264.5,1750
"1940年",2442.8,1094.4
"1941年",1857.3,2155.2
"1942年",2218.3,1469.5
"1943年",2177,1391.3
"1944年",2114.3,1328.8
"1945年",2166.7,1615.9
"1946年",2189.2,1236.3
"1947年",2174.2,1037.8
"1948年",1906.1,1757.4
"1949年",1958.8,1782.1
"1950年",1937.4,1951.7
"1951年",1953.6,1589.8
"1952年",1837.4,1640.6
"1953年",1786.5,1519.4
"1954年",1771.5,1770.7
"1955年",2018.1,1553.9
"1956年",1814.7,1657.3
"1957年",1780.8,1500
"1958年",1918.7,1804.9
"1959年",1828.4,1626.3
"1960年",2122.2,1281.9
"1961年",2142.4,1260.2
"1962年",2091.3,1256
"1963年",1971,1575
"1964年",1843.2,1140.2
"1965年",2103.3,1596
"1966年",1908.8,1643.5
"1967年",1986.6,1023.3
"1968年",1938.9,1491
"1969年",1837.9,1343
"1970年",1790.7,1122
"1971年",1863.1,1438.5
"1972年",2071.7,1627.5
"1973年",2195.7,1149.5
"1974年",1964.3,1580.5
"1975年",2018.9,1540.5
"1976年",1800.7,1557.5
"1977年",1924.5,1454
"1978年",2057.2,1030
"1979年",2000.7,1453.5
"1980年",1901.4,1577.5
"1981年",2067,1463.5
"1982年",1936.8,1575.5
"1983年",2081.1,1340.5
"1984年",2087.8,879.5
"1985年",1998.3,1516.5
"1986年",1924.8,1458
"1987年",1930.4,1089
"1988年",1805.7,1515.5
"1989年",1832.7,1937.5
"1990年",1940.7,1512.5
"1991年",1733,2042
"1992年",1823.4,1619.5
"1993年",1711.9,1872.5
"1994年",2063.6,1131.5
"1995年",2028.1,1220
"1996年",1984.2,1333.5
"1997年",2063.9,1302
"1998年",1535.4,1546.5
"1999年",2008.1,1622
"2000年",1962.5,1603
"2001年",1976.5,1491
"2002年",1990,1294.5
"2003年",1723.2,1854
"2004年",2132.7,1750
"2005年",1965,1482
"2006年",1587.8,1740
"2007年",1996,1332
"2008年",1857.8,1857.5
"2009年",1783.3,1801.5
"2010年",1987,1679.5
"2011年",2056.2,1479.5
"2012年",2022.9,1570
"2013年",2131.1,1614
"2014年",2104,1808
"2015年",1966.6,1781.5
"2016年",1841.7,1779
"2017年",2050.9,1430
"2018年",2112.2,1445.5
