date,avg,avg_kesson,avg_gensyo,high,high_kesson,high_gensyo,low,low_kesson,low_gensyo
2000/1/1,6.8,8,1,13.6,8,1,1.3,8,1
2000/1/2,5.0,8,1,7.7,8,1,0.1,8,1
2000/1/3,7.8,8,1,14.5,8,1,3.6,8,1
2000/1/4,8.3,8,1,13.8,8,1,2.4,8,1
2000/1/5,6.9,8,1,11.5,8,1,0.5,8,1
2000/1/6,9.5,8,1,12.2,8,1,7.4,8,1
2000/1/7,11.3,8,1,17.2,8,1,7.8,8,1
2000/1/8,8.0,8,1,10.6,8,1,4.6,8,1
2000/1/9,7.5,8,1,11.1,8,1,1.5,8,1
2000/1/10,10.3,8,1,16.6,8,1,6.8,8,1
2000/1/11,6.8,8,1,11.3,8,1,3.0,8,1
2000/1/12,2.7,8,1,4.7,8,1,1.4,8,1
2000/1/13,6.9,8,1,10.9,8,1,2.2,8,1
2000/1/14,10.7,8,1,16.1,8,1,7.7,8,1
2000/1/15,8.9,8,1,11.4,8,1,6.6,8,1
2000/1/16,6.8,8,1,8.9,8,1,4.4,8,1
2000/1/17,4.9,8,1,6.8,8,1,1.5,8,1
2000/1/18,7.4,8,1,11.2,8,1,3.1,8,1
2000/1/19,4.9,8,1,6.5,8,1,1.8,8,1
2000/1/20,6.1,8,1,12.0,8,1,1.2,8,1
2000/1/21,3.0,8,1,5.8,8,1,0.1,8,1
2000/1/22,3.2,8,1,8.3,8,1,-2.4,8,1
2000/1/23,5.1,8,1,13.2,8,1,-1.3,8,1
2000/1/24,7.0,8,1,12.3,8,1,1.9,8,1
2000/1/25,4.1,8,1,6.9,8,1,1.8,8,1
2000/1/26,2.8,8,1,6.9,8,1,-1.4,8,1
2000/1/27,2.0,8,1,5.8,8,1,-1.5,8,1
2000/1/28,3.1,8,1,9.5,8,1,-5.3,8,1
2000/1/29,5.0,8,1,10.7,8,1,-0.9,8,1
2000/1/30,6.8,8,1,15.1,8,1,-1.2,8,1
2000/1/31,5.5,8,1,10.3,8,1,2.3,8,1
2000/2/1,4.8,8,1,9.0,8,1,0.9,8,1
2000/2/2,6.1,8,1,11.7,8,1,2.4,8,1
2000/2/3,5.3,8,1,11.1,8,1,-0.6,8,1
2000/2/4,6.4,8,1,11.8,8,1,2.6,8,1
2000/2/5,5.1,8,1,11.2,8,1,-2.5,8,1
2000/2/6,6.3,8,1,9.4,8,1,2.5,8,1
2000/2/7,7.9,8,1,14.7,8,1,0.3,8,1
2000/2/8,6.6,8,1,12.9,8,1,-0.2,8,1
2000/2/9,4.3,8,1,9.9,8,1,-1.5,8,1
2000/2/10,3.8,8,1,11.0,8,1,-2.7,8,1
2000/2/11,4.3,8,1,10.9,8,1,-3.7,8,1
2000/2/12,6.2,8,1,13.0,8,1,-1.0,8,1
2000/2/13,6.9,8,1,10.8,8,1,0.5,8,1
2000/2/14,5.6,8,1,8.3,8,1,3.9,8,1
2000/2/15,3.7,8,1,8.9,8,1,0.1,8,1
2000/2/16,1.6,8,1,6.5,8,1,-3.3,8,1
2000/2/17,2.5,8,1,8.3,8,1,-3.4,8,1
2000/2/18,2.8,8,1,8.4,8,1,-3.1,8,1
2000/2/19,3.4,8,1,7.1,8,1,-2.1,8,1
2000/2/20,3.3,8,1,5.6,8,1,0.9,8,1
2000/2/21,4.1,8,1,8.6,8,1,-2.2,8,1
2000/2/22,3.5,8,1,9.0,8,1,-2.2,8,1
2000/2/23,4.8,8,1,9.2,8,1,-0.9,8,1
2000/2/24,3.4,8,1,9.8,8,1,-1.4,8,1
2000/2/25,2.6,8,1,7.2,8,1,-0.9,8,1
2000/2/26,2.0,8,1,4.5,8,1,-0.5,8,1
2000/2/27,4.1,8,1,10.4,8,1,-2.4,8,1
2000/2/28,5.6,8,1,13.0,8,1,-2.1,8,1
2000/2/29,3.5,8,1,8.8,8,1,-1.3,8,1
2000/3/1,4.3,8,1,11.2,8,1,-2.7,8,1
2000/3/2,6.3,8,1,13.4,8,1,-0.9,8,1
